low	-1.1	0.53852	[-1, -1, -1, -1, -1, -2, -1, -2, 0, -1]
slash	-1.1	1.22066	[-2, -3, -2, 0, -2, 0, -1, -2, 0, 1]
credit	1.6	0.91652	[1, 1, 0, 2, 3, 3, 2, 2, 1, 1]
lowered	-0.5	1.11803	[-1, -1, -2, -1, -1, 2, -1, -1, 1, 0]
straight	0.9	1.04403	[2, 0, 1, 0, 0, 0, 1, 2, 3, 0]
safety	1.8	0.6	[2, 2, 2, 2, 1, 1, 2, 3, 1, 2]
funeral	-1.5	1.74642	[-2, -3, -2, -1, -3, -1, -4, 1, 2, -2]
warning	-1.4	1.0198	[-2, -1, -1, -1, -2, 0, -4, -1, -1, -1]
no	-1.2	0.74833	[-1, -1, -1, -1, -1, -1, 0, -1, -2, -3]
worship	1.2	1.07703	[1, 0, 0, 1, 3, 0, 2, 3, 1, 1]
peace	2.5	1.0247	[3, 2, 1, 4, 2, 3, 4, 1, 3, 2]
play	1.4	1.0198	[2, 0, 1, 1, 1, 2, 1, 4, 1, 1]
bright	1.9	0.7	[2, 2, 1, 2, 1, 2, 1, 3, 3, 2]
sparkle	1.8	0.74833	[0, 2, 2, 2, 1, 2, 3, 2, 2, 2]
lowercase	0.3	0.45826	[0, 0, 0, 0, 1, 0, 1, 0, 1, 0]
free	2.3	0.9	[2, 4, 3, 3, 2, 1, 2, 3, 1, 2]
